MMSI, LAT, LON, SPEED, COURSE, STATUS, TIMESTAMP
210047000,43.468670,-9.770435,82,29,0,2016-02-22T17:18:24
212376000,43.243820,-10.084700,92,191,0,2016-02-22T17:20:11
210047000,43.146660,-9.937616,105,349,0,2016-02-22T17:18:56
212376000,43.066790,-9.612607,9,0,15,2016-02-22T17:19:18
210047000,43.101720,-9.610230,21,226,7,2016-02-22T17:16:03
212376000,43.426110,-9.640910,192,17,0,2016-02-22T17:20:47
210047000,43.040520,-9.771927,120,358,7,2016-02-22T17:21:17
212376000,42.986370,-9.797475,89,357,0,2016-02-22T17:20:28
210047000,43.236970,-9.724459,94,27,0,2016-02-22T17:20:35
212376000,43.293460,-9.927738,123,28,0,2016-02-22T17:20:13
210047000,43.125930,-10.072610,116,185,0,2016-02-22T17:18:56
212376000,43.380730,-9.852883,108,12,0,2016-02-22T17:21:24
210047000,43.369920,-9.643563,168,30,0,2016-02-22T17:20:36
212376000,43.204720,-10.103680,115,179,0,2016-02-22T17:19:33
210047000,43.399410,-10.119990,139,207,0,2016-02-22T17:22:01
212376000,43.376810,-10.049390,164,205,0,2016-02-22T17:16:14
210047000,43.149670,-9.784833,180,7,0,2016-02-22T17:21:37
212376000,42.999350,-9.777610,116,357,3,2016-02-22T17:19:22
210047000,42.976810,-9.956157,122,1,0,2016-02-22T17:20:20
212376000,43.199380,-9.751516,94,27,0,2016-02-22T17:19:09
210047000,43.194890,-9.781404,137,1,0,2016-02-22T17:16:14
