MMSI, LAT, LON, SPEED, COURSE, STATUS, TIMESTAMP
111224102,42.904730,-10.006710,1410,358,97,2016-02-18T17:42:28
111224102,42.956280,-10.012870,1390,355,97,2016-02-18T17:43:48
111224102,42.982880,-10.015920,1410,355,97,2016-02-18T17:44:30
111224102,43.034970,-10.022600,1420,354,97,2016-02-18T17:45:48
111224102,43.155030,-10.034690,1430,355,97,2016-02-18T17:48:49
111224102,43.181050,-10.031950,1420,15,97,2016-02-18T17:49:29
111224102,43.226100,-10.011570,1460,17,97,2016-02-18T17:50:39
111224102,43.257540,-9.995622,1490,30,97,2016-02-18T17:51:29
111224102,43.403320,-9.857282,1630,35,97,2016-02-18T17:55:29
111224102,43.447410,-9.815110,1630,34,97,2016-02-18T17:56:39
111224102,43.496350,-9.768659,1650,34,97,2016-02-18T17:57:59
209098000,42.918670,-9.789690,100,1,0,2016-02-18T01:47:03
209098000,42.955860,-9.788981,103,2,0,2016-02-18T02:00:03
209098000,42.961380,-9.788968,106,3,0,2016-02-18T02:01:56
209098000,42.966690,-9.789037,107,357,0,2016-02-18T02:03:43
209098000,42.979930,-9.788268,100,7,0,2016-02-18T02:08:23
209098000,42.977180,-9.788609,101,8,0,2016-02-18T02:10:41
209098000,42.990350,-9.787425,102,353,0,2016-02-18T02:12:03
209098000,42.994580,-9.787157,106,358,0,2016-02-18T02:16:41
209098000,43.012490,-9.785080,104,16,0,2016-02-18T02:22:41
209098000,43.012490,-9.785080,104,16,0,2016-02-18T02:25:35
209098000,43.029890,-9.783120,101,356,0,2016-02-18T02:28:44
209098000,43.051750,-9.780073,103,2,0,2016-02-18T02:33:16
209098000,43.047740,-9.780666,103,7,0,2016-02-18T02:34:37
209098000,43.047740,-9.780666,103,7,0,2016-02-18T02:37:30
209098000,43.064890,-9.779068,104,359,0,2016-02-18T02:40:26
209098000,43.064890,-9.779068,104,359,0,2016-02-18T02:43:19
209098000,43.128580,-9.776631,108,2,0,2016-02-18T02:59:57
209098000,43.135750,-9.776417,107,8,0,2016-02-18T03:07:21
209098000,43.154070,-9.776013,106,357,0,2016-02-18T03:13:23
209098000,43.173760,-9.767591,110,22,0,2016-02-18T03:15:43
209098000,43.176550,-9.765638,111,26,0,2016-02-18T03:16:44
209098000,43.180670,-9.762610,108,30,0,2016-02-18T03:18:17
209098000,43.188440,-9.756989,107,23,0,2016-02-18T03:21:10
209098000,43.191390,-9.754865,111,28,0,2016-02-18T03:22:16
209098000,43.195360,-9.751842,113,25,0,2016-02-18T03:23:44
209098000,43.187280,-9.757765,111,33,0,2016-02-18T03:25:17
209098000,43.205750,-9.743836,114,25,0,2016-02-18T03:27:30
209098000,43.209400,-9.740956,113,25,0,2016-02-18T03:28:50
209098000,43.203730,-9.745403,113,27,0,2016-02-18T03:31:20
209098000,43.221390,-9.732012,110,22,0,2016-02-18T03:33:11
209098000,43.225010,-9.729285,113,29,0,2016-02-18T03:34:30
209098000,43.230880,-9.725139,113,18,0,2016-02-18T03:36:36
209098000,43.244370,-9.716125,112,25,0,2016-02-18T03:41:23
209098000,43.247510,-9.714085,112,33,0,2016-02-18T03:42:30
209098000,43.250570,-9.712136,111,30,0,2016-02-18T03:43:36
209098000,43.254260,-9.709902,110,32,0,2016-02-18T03:44:56
209098000,43.257480,-9.707724,108,25,0,2016-02-18T03:46:06
209098000,43.261540,-9.705165,108,25,0,2016-02-18T03:47:36
209098000,43.265200,-9.702917,108,26,0,2016-02-18T03:48:56
209098000,43.267940,-9.701232,107,25,0,2016-02-18T03:49:57
209098000,43.270660,-9.699367,105,17,0,2016-02-18T03:50:56
209098000,43.273450,-9.697543,109,24,0,2016-02-18T03:51:59
209098000,43.276620,-9.695432,109,25,0,2016-02-18T03:53:09
209098000,43.280220,-9.692885,107,28,0,2016-02-18T03:54:29
209098000,43.284900,-9.689680,108,28,0,2016-02-18T03:56:16
209098000,43.288490,-9.687266,108,28,0,2016-02-18T03:57:36
209098000,43.291230,-9.685469,110,18,0,2016-02-18T03:58:37
209098000,43.295860,-9.682425,111,28,0,2016-02-18T04:00:16
209098000,43.298970,-9.680491,110,20,0,2016-02-18T04:01:23
209098000,43.301770,-9.678640,110,27,0,2016-02-18T04:02:24
209098000,43.304760,-9.676643,111,30,0,2016-02-18T04:03:30
209098000,43.308200,-9.674492,112,30,0,2016-02-18T04:04:42
209098000,43.311300,-9.672545,110,18,0,2016-02-18T04:05:49
209098000,43.314080,-9.670845,112,22,0,2016-02-18T04:06:49
209098000,43.317550,-9.668721,110,24,0,2016-02-18T04:08:03
209098000,43.320510,-9.666872,111,26,0,2016-02-18T04:09:06
209098000,43.323940,-9.664661,113,32,0,2016-02-18T04:10:19
209098000,43.327280,-9.662657,112,28,0,2016-02-18T04:11:29
209098000,43.330310,-9.660718,112,22,0,2016-02-18T04:12:32
209098000,43.333120,-9.658918,111,18,0,2016-02-18T04:13:32
209098000,43.335960,-9.657153,112,25,0,2016-02-18T04:14:32
209098000,43.338880,-9.655481,115,19,0,2016-02-18T04:15:32
209098000,43.341600,-9.653428,113,26,0,2016-02-18T04:16:32
209098000,43.337410,-9.656283,114,22,0,2016-02-18T04:19:18
209098000,43.348550,-9.637161,116,67,0,2016-02-18T04:25:08
209098000,43.356280,-9.612643,118,67,0,2016-02-18T04:31:10
209141000,42.899670,-9.785833,115,353,0,2016-02-18T12:46:38
209141000,42.956670,-9.788834,113,352,0,2016-02-18T13:04:57
209141000,42.963830,-9.789333,110,355,0,2016-02-18T13:10:51
209141000,42.983170,-9.790667,116,348,0,2016-02-18T13:16:51
209141000,43.002500,-9.791667,122,357,0,2016-02-18T13:22:52
209141000,43.022170,-9.792666,124,359,0,2016-02-18T13:28:54
209141000,43.042000,-9.793500,111,354,0,2016-02-18T13:34:49
209141000,43.144170,-9.795667,117,9,0,2016-02-18T14:07:50
209141000,43.162670,-9.795333,107,351,0,2016-02-18T14:13:53
209141000,43.180830,-9.794333,107,359,0,2016-02-18T14:19:54
209141000,43.200160,-9.791166,117,12,0,2016-02-18T14:25:54
209141000,43.222330,-9.775666,122,33,0,2016-02-18T14:28:18
209141000,43.225500,-9.773167,125,24,0,2016-02-18T14:29:24
209141000,43.218330,-9.778833,124,25,0,2016-02-18T14:31:53
209141000,43.243830,-9.759500,123,32,0,2016-02-18T14:35:17
209141000,43.237170,-9.764500,126,33,0,2016-02-18T14:37:51
209141000,43.259000,-9.747666,125,31,0,2016-02-18T14:40:17
209141000,43.255660,-9.750334,123,24,0,2016-02-18T14:43:51
209141000,43.324170,-9.696667,108,23,0,2016-02-18T15:02:57
209141000,43.334500,-9.689000,112,32,0,2016-02-18T15:06:38
209141000,43.326000,-9.695333,114,23,0,2016-02-18T15:07:50
209141000,43.350170,-9.677667,118,15,0,2016-02-18T15:12:18
209141000,43.353000,-9.675667,111,21,0,2016-02-18T15:13:18
209141000,43.356170,-9.673333,113,23,0,2016-02-18T15:14:27
209141000,43.360000,-9.670500,116,25,0,2016-02-18T15:19:45
209141000,43.375500,-9.659000,117,37,0,2016-02-18T15:21:18
209141000,43.384500,-9.652166,116,20,0,2016-02-18T15:24:27
209141000,43.377330,-9.657666,114,27,0,2016-02-18T15:25:52
209141000,43.392670,-9.645833,117,28,0,2016-02-18T15:27:17
209141000,43.394660,-9.644500,123,37,0,2016-02-18T15:31:49
209141000,43.413330,-9.629833,119,26,0,2016-02-18T15:34:27
209141000,43.418500,-9.625667,119,37,0,2016-02-18T15:36:17
209141000,43.412330,-9.630500,122,31,0,2016-02-18T15:37:50
209141000,43.426670,-9.618167,123,65,0,2016-02-18T15:39:20
209141000,43.427830,-9.614833,120,63,0,2016-02-18T15:43:49
209806000,42.910760,-9.788095,77,359,0,2016-02-18T16:05:01
209806000,42.911470,-9.788052,76,3,0,2016-02-18T16:09:48
209806000,42.923890,-9.787733,73,359,0,2016-02-18T16:15:48
209806000,42.936490,-9.787403,68,5,0,2016-02-18T16:21:48
209806000,42.948810,-9.787075,70,4,0,2016-02-18T16:27:47
209806000,42.961170,-9.786883,74,359,0,2016-02-18T16:33:43
209806000,42.973200,-9.786642,72,4,0,2016-02-18T16:39:44
209806000,43.037690,-9.785753,76,3,0,2016-02-18T17:09:38
209806000,43.037690,-9.785753,76,3,0,2016-02-18T17:12:43
209806000,43.051090,-9.785898,82,359,0,2016-02-18T17:15:39
209806000,43.051090,-9.785898,82,359,0,2016-02-18T17:18:45
209806000,43.064510,-9.785651,76,4,0,2016-02-18T17:21:40
209806000,43.064510,-9.785651,76,4,0,2016-02-18T17:24:42
209806000,43.076840,-9.785367,74,2,0,2016-02-18T17:27:38
209806000,43.076840,-9.785367,74,2,0,2016-02-18T17:30:42
209806000,43.089900,-9.785107,78,1,0,2016-02-18T17:33:43
209806000,43.089900,-9.785107,78,1,0,2016-02-18T17:36:43
209806000,43.103150,-9.784703,79,1,0,2016-02-18T17:39:46
209806000,43.103150,-9.784703,79,1,0,2016-02-18T17:42:42
209806000,43.156670,-9.783657,75,359,0,2016-02-18T18:06:43
209806000,43.169830,-9.783830,73,354,0,2016-02-18T18:12:45
209806000,43.182420,-9.783800,77,2,0,2016-02-18T18:18:44
